id,name,address1,address2,city,zip,phone,website,clp,latitude,longitude,id,lastUpdatedDate,lastUpdatedBy,schoolOpeningDate,infrastructureLEA,operatingModel,id,name,contactName,phone,zip,studentCases,staffCases,lastWeekStudentCases,lastWeekStaffCases
985,Achievement School District,710 James Robertson Pkwy,State Dept. of Education,Nashville,37243,6152534176,http://achievementschooldistrict.org/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=ef6f9d9c-bef7-4edd-95ed-820e96435740&inline=true,36.16795,-86.787124,148,2020-10-26T22:01:23.000Z,katrice.bullock8659@tneducation.net,2020-08-31T00:00:00.000Z,False,,9,Southwest CORE Region,Audrey Johnson,(901) 484-3389,38301,0,1,0,0
171,Alamo,265 East  Park St,,Alamo,38001,7316965515,http://www.alamoschool.org/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=a4fc1264-408e-42c6-9613-7f140466c41f&inline=true,35.783283,-89.11156,33,2020-11-02T19:32:40.000Z,reecha.black@tneducation.net,2020-08-24T00:00:00.000Z,False,,1,Northwest Tennessee CORE Region,Pennye Thurmond,(731) 881-7565,38229,0,0,0,0
51,Alcoa,524 Faraday St,Alcoa City Education Building,Alcoa,37701,8659840531,https://www.alcoaschools.net/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=91e3e14c-dd88-4ed1-9d4f-7b224d5be975&inline=true,35.792157,-83.979925,9,2020-10-05T13:43:36.000Z,rebecca.stone@tneducation.net,2020-07-22T00:00:00.000Z,False,,5,East Tennessee CORE Region,Ginger Leach,(865) 594-9445,37920,,,3,0
961,Alvin C York Institute,701 North Main St,,Jamestown,38556,9318798101,http://www2.york.k12.tn.us/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=755255ec-647e-4ef0-a24f-2e9b7523afe6&inline=true,36.414922,-84.935918,144,2021-02-09T22:12:00.000Z,vijay.gollapudi@tnedu.gov,2020-08-03T00:00:00.000Z,False,,4,Upper Cumberland CORE Region,Janice Fox,(931) 544-7079,38501,0,0,0,0
10,Anderson County,101 South Main St,,Clinton,37716,8654632800,https://www.acs.ac/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=1e2bda42-c688-47c2-bced-2e606c00f98e&inline=true,36.09973,-84.134329,2,2021-01-11T20:58:45.000Z,william.deal@tneducation.net,2020-08-05T00:00:00.000Z,True,,5,East Tennessee CORE Region,Ginger Leach,(865) 594-9445,37920,,,,
793,Arlington,12060 Arlington Trl,,Arlington,38002,9013892497,https://www.acsk-12.org,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=c8c5672e-6fb1-4d40-94e7-b2d668e2ad7f&inline=true,35.261913,-89.660275,116,2020-09-21T14:01:25.000Z,tyler.hill@tneducation.net,2020-08-10T00:00:00.000Z,False,,9,Southwest CORE Region,Audrey Johnson,(901) 484-3389,38301,0,0,0,0
541,Athens,943  Crestway  Dr,,Athens,37303,4237452863,https://www.athenscityschools.net/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=0d1144a0-5e9b-4fd3-94fb-7e58975c64ee&inline=true,35.433021,-84.606046,83,2020-11-09T16:04:49.000Z,robert.greene13@tneducation.net,2020-08-10T00:00:00.000Z,False,,7,Southeast Tennessee CORE Region,Sharon Harper,(423) 260-1168,37406,4,1,2,2
794,Bartlett,5705 Stage Rd,,Bartlett,38134,9012020855,http://www.bartlettschools.org/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=ec137f3c-29c8-410b-810a-6ab38c126728&inline=true,35.203902,-89.873063,117,2021-03-12T21:21:29.000Z,david.stephens2368@tneducation.net,2020-08-10T00:00:00.000Z,False,,9,Southwest CORE Region,Audrey Johnson,(901) 484-3389,38301,,,0,0
20,Bedford County,500  Madison  St,,Shelbyville,37160,9316843284,https://www.bedfordk12tn.com/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=b55e9180-ed4b-4096-938b-a3fbb98c5412&inline=true,35.487764,-86.453668,5,2021-01-29T20:21:47.000Z,terise.rhodes@tneducation.net,2020-08-03T00:00:00.000Z,False,,8,South Central CORE Region,Bill Byford,(931) 488-3050,37160,6,2,6,2
172,Bells,4547 Hwy  88 South ,,Bells,38006,7316632041,http://www.bellscityschool.org/,https://eplan.tn.gov/DocumentLibrary/ViewDocument.aspx?DocumentGuid=34e26168-82e0-483a-afa2-6b0af1c0a282&inline=true,35.724059,-89.092398,34,2021-02-22T14:48:57.000Z,mark.wallace@tneducation.net,2020-08-24T00:00:00.000Z,False,,1,Northwest Tennessee CORE Region,Pennye Thurmond,(731) 881-7565,38229,0,0,,
